Component Name;Part Number;Description;Quantity;Material;Supplier;Unit Cost;Lead Time;Criticality;Source of Supply;Revision Level;Manufacturing Process;Quality Standards;Testing Requirements;Assembly Instructions;Subassembly Level;Weight;Packaging Information;Environmental Compliance;Safety Considerations
Vacuum System;CHM-001;System for loading wafers into chamber;1;Aluminum Alloy;Vendor D;$18,000;22 weeks;Medium;External;B.1;Integration of Diagnostics;SEMI S789;Gas Purity Analysis;Provided by vendor;Level 2;150 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Source Assembly;PSU-002;Precision temperature control;1;Copper, Silicon;Vendor H;$25,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Power Supply Unit;PSA-001;High-voltage power supply;1;Various;Vendor B;$15,000;8 weeks;High;External;A.3;CNC Machining, Welding;SEMI S567;Leak Test;Provided by vendor;Level 2;150 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Wafer Loading System;WLS-002;Robot arm and wafer chuck;1;Stainless Steel;Vendor E;$28,000;14 weeks;High;External;B.2;Quartz Fabrication;SEMI S456;Visual Inspection;Provided by vendor;Level 2;45 kg;Digital delivery;RoHS, REACH;Safety interlocks during lid opening
Lid Assembly;CHM-001;High-performance vacuum system;1;Aluminum Alloy, Ceramic;Vendor L;$20,000;14 weeks;Medium;External;B.2;CNC Machining;SEMI S234;Functional Tests;Provided by vendor;Level 1;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;CHM-001;High-voltage power supply;1;Inconel;Vendor H;$10,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S123;Mass Spectrometry Test;Provided by vendor;Level 2;30 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Ion Source Assembly;GDS-001;High-performance vacuum system;1;Stainless Steel;Vendor E;$30,000;14 weeks;High;External;B.1;Thermoelectric Cooling;SEMI S234;Vacuum Integrity Test;Provided by vendor;Level 1;45 kg;Custom crate;RoHS, REACH;Safety interlocks during lid opening
Cooling System;GDS-001;Closed-loop coolant system;1;Stainless Steel;Vendor Q;$5,000;12 weeks;High;External;A.1;Precision Machining;SEMI S678;Software Testing;Provided by vendor;Level 1;60 kg;Custom crate;RoHS, REACH;Safety interlocks during lid opening
Control Software System;CSS-002;Software system for process control;1;Stainless Steel;Vendor O;$22,000;10 weeks;High;External;A.1;Software Development;SEMI S123;Robotic Tests;Provided by vendor;Level 2;120 kg;Digital delivery;RoHS, REACH;Safety interlocks during operation
Etching Chamber;CS-002;High-performance vacuum system;1;Aluminum Alloy, Ceramic;Vendor G;$30,000;16 weeks;Medium;External;A.2;Electronic Assembly;SEMI S678;Robotic Tests;Provided by vendor;Level 1;100 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Gas Purification System;WLS-002;Software system for process control;1;Copper, Silicon;Vendor Q;$5,000;12 weeks;High;External;A.1;CNC Machining, Welding;SEMI S345;Functional Tests;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Temperature Control Unit;LID-001;RF Generator and Electrostatic Chuck Assembly;1;Stainless Steel;Vendor A;$25,000;12 weeks;High;External;A.1;Precision Machining;SEMI S789;Temperature Stability Test;Provided by vendor;Level 1;40 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Gas Purification System;CHM-001;Gas distribution manifold;1;Aluminum Alloy;Vendor N;$10,000;12 weeks;High;External;A.1;Precision Machining;SEMI S345;Vacuum Integrity Test;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Cooling System;VS-002;Precision temperature control;1;Aluminum Alloy, Ceramic;Vendor D;$30,000;14 weeks;Medium;External;B.1;Vacuum Technology;SEMI S789;Diagnostics Performance Test;Provided by vendor;Level 1;60 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Vacuum System;GFMS-002;Ion source for plasma etching;1;Stainless Steel;Vendor N;$18,000;12 weeks;High;External;A.2;Integration of Diagnostics;SEMI S890;Mass Spectrometry Test;Provided by vendor;Level 2;150 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Cooling System;VS-002;Closed-loop coolant system;1;Titanium;Vendor M;$30,000;14 weeks;High;External;A.3;Vacuum Technology;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;70 kg;Custom crate;RoHS, REACH;-
Cooling System;CS-002;High-performance vacuum system;1;Stainless Steel;Vendor N;$18,000;14 weeks;Medium;External;B.1;Vacuum Technology;SEMI S567;Vacuum Integrity Test;Provided by vendor;Level 2;50 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Lid Assembly;CSS-002;Gas distribution manifold;1;Aluminum Alloy;Vendor F;$22,000;10 weeks;Medium;External;A.1;Electronic Assembly;SEMI S567;Pressure Test;Provided by vendor;Level 1;100 kg;Custom packaging;RoHS, REACH;-
Chamber Assembly;CSS-002;Control system for plasma parameters;1;Software;Vendor H;$25,000;10 weeks;High;External;A.1;Electronic Assembly;ISO 9001;Pressure Test;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;VS-002;Specialized chamber for etching process;1;Stainless Steel;Vendor F;$20,000;14 weeks;Medium;External;A.1;Integration of Diagnostics;SEMI S234;Pressure Test;Provided by vendor;Level 2;150 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;TCU-002;RF Generator and Electrostatic Chuck Assembly;1;Various;Vendor F;$20,000;14 weeks;Medium;External;B.1;Integration of Diagnostics;SEMI S234;Robotic Tests;Provided by vendor;Level 2;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Vacuum System;PSA-001;Robot arm and wafer chuck;1;Aluminum Alloy;Vendor G;$20,000;14 weeks;Medium;External;A.3;Thermoelectric Cooling;SEMI S234;Temperature Stability Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;GPS-002;High-voltage power supply;1;Copper, Silicon;Vendor H;$15,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Temperature Control Unit;VS-002;Gas purification and filtration;1;Aluminum Alloy, Ceramic;Vendor D;$5,000;12 weeks;Medium;External;A.1;Automated Loading;SEMI S456;Electrical Tests;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Control Software System;LID-001;Precision temperature control;1;Titanium;Vendor D;$28,000;10 weeks;High;External;A.1;Flow Rate Calibration;SEMI S678;Mass Spectrometry Test;Provided by vendor;Level 1;80 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;PSA-001;Robot arm and wafer chuck;1;Various;Vendor L;$18,000;14 weeks;Medium;External;B.2;Electronic Assembly;SEMI S234;Helium Leak Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Wafer Loading System;LID-001;Software system for process control;1;Electronic Components;Vendor H;$25,000;18 weeks;Medium;External;A.1;Automated Loading;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Gas Flow Management System;WHS-001;System for controlling gas flow rates;1;Stainless Steel;Vendor N;$16,000;10 weeks;Medium;External;A.2;Flow Rate Calibration;SEMI S123;Software Testing;Provided by vendor;Level 1;-;Custom crate;RoHS, REACH;-
Power Supply Unit;PCU-002;Software system for process control;1;Aluminum Alloy;Vendor E;$15,000;12 weeks;Medium;External;A.1;Quartz Fabrication;SEMI S789;Robotic Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;-
Power Supply Unit;PDM-002;Lid for chamber;1;Various;Vendor H;$15,000;14 weeks;High;External;A.1;Electronic Assembly;SEMI S890;Helium Leak Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Wafer Handling System;PSU-002;High-voltage power supply;1;Software;Vendor O;$25,000;8 weeks;High;External;A.1;Precision Machining;ISO 9001;Electrical Tests;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Diagnostics Module;EC-002;Lid for chamber;1;Aluminum Alloy, Ceramic;Vendor A;$20,000;10 weeks;High;External;B.2;CNC Machining;SEMI S456;Functional Tests;Provided by vendor;Level 1;120 kg;Digital delivery;RoHS, REACH;-
Gas Purification System;CS-002;System for loading wafers into chamber;1;Electronic Components;Vendor Q;$8,000;14 weeks;Medium;External;A.1;Electronic Assembly;SEMI S234;Vacuum Integrity Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Cooling System;CHM-001;Main chamber body;1;Software;Vendor O;$8,000;10 weeks;High;External;A.1;CNC Machining;SEMI S567;Pressure Test;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;-
Temperature Control Unit;LID-001;High-voltage power supply;1;Copper, Silicon;Vendor H;$25,000;18 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;PDM-002;RF Generator and Electrostatic Chuck Assembly;1;Various;Vendor D;$20,000;14 weeks;Medium;External;A.3;Integration of Components;SEMI S234;Visual Inspection;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Plasma Control Unit;WLS-002;System for loading wafers into chamber;1;Aluminum Alloy;Vendor B;$10,000;14 weeks;High;External;A.3;Flow Rate Calibration;SEMI S567;Gas Purity Analysis;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Ion Source Assembly;WLS-002;System for loading wafers into chamber;1;Stainless Steel;Vendor C;$16,000;10 weeks;Medium;External;A.2;Precision Machining;SEMI S456;Gas Flow Stability Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Wafer Loading System;PDM-002;Ion source for plasma etching;1;Stainless Steel;Vendor L;$12,000;22 weeks;Medium;External;A.1;Quartz Fabrication;SEMI S678;Mass Spectrometry Test;Provided by vendor;Level 2;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Vacuum System;PDM-002;Robot arm and wafer chuck;1;Copper, Silicon;Vendor K;$25,000;8 weeks;High;External;A.1;Integration of Components;SEMI S789;Vacuum Integrity Test;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Power Supply Unit;GDS-001;Main chamber body;1;Stainless Steel;Vendor O;$10,000;12 weeks;High;External;A.2;CNC Machining, Welding;ISO 9001;Electrical Safety Tests;Provided by vendor;Level 1;80 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Ion Source Assembly;CSS-002;Control system for plasma parameters;1;Electronic Components;Vendor G;$10,000;8 weeks;Medium;External;A.2;Precision Machining;SEMI S567;Mass Spectrometry Test;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Chamber Assembly;VS-002;Closed-loop coolant system;1;Titanium;Vendor A;$12,000;12 weeks;Medium;External;A.2;Filtration and Purification;SEMI S678;Robotic Tests;Provided by vendor;Level 2;200 kg;Custom crate;RoHS, REACH;Safety interlocks during lid opening
Gas Purification System;CSS-002;Specialized chamber for etching process;1;Stainless Steel;Vendor Q;$8,000;16 weeks;High;External;A.1;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 2;120 kg;Custom crate;RoHS, REACH;-
Plasma Diagnostics Module;GPS-002;System for loading wafers into chamber;1;Polypropylene;Vendor H;$30,000;15 weeks;High;External;A.1;Laser Cutting, Assembly;SEMI S345;Mass Spectrometry Test;Provided by vendor;Level 1;90 kg;Custom crate;RoHS, REACH;Safety interlocks during operation
Chamber Assembly;VS-002;Ion source for plasma etching;1;Stainless Steel;Vendor A;$22,000;16 weeks;Medium;External;B.2;CNC Machining;SEMI S789;Leak Test;Provided by vendor;Level 1;150 kg;Custom crate;RoHS, REACH;-
Vacuum System;WLS-002;Diagnostic tools for monitoring plasma;1;Titanium;Vendor H;$22,000;8 weeks;Medium;External;B.1;Quartz Fabrication;SEMI S234;Visual Inspection;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Control Software System;CSS-002;Software system for process control;1;Software;Vendor O;$8,000;10 weeks;High;External;A.1;Software Development;SEMI S567;Software Testing;Provided by vendor;Level 1;90 kg;Digital delivery;RoHS, REACH;Safety interlocks during handling
Chamber Assembly;PSU-002;Main chamber body;1;Aluminum Alloy, Ceramic;Vendor E;$22,000;12 weeks;High;External;A.1;Electronic Assembly;SEMI S234;Vacuum Integrity Test;Provided by vendor;Level 2;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during lid opening
Control Software System;GPS-002;Software system for process control;1;Software;Vendor A;$8,000;18 weeks;High;External;A.1;Software Development;ISO 9001;Software Testing;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Plasma Diagnostics Module;GPS-002;RF Generator and Electrostatic Chuck Assembly;1;Aluminum Alloy;Vendor B;$16,000;16 weeks;High;External;A.1;Thermoelectric Cooling;SEMI S234;Diagnostics Performance Test;Provided by vendor;Level 2;80 kg;Custom packaging;RoHS, REACH;-
Vacuum System;CSS-002;Lid for chamber;1;Inconel;Vendor L;$8,000;10 weeks;High;External;A.1;Flow Rate Calibration;SEMI S123;Robotic Tests;Provided by vendor;Level 1;-;Digital delivery;RoHS, REACH;Safety interlocks during handling
Wafer Handling System;VS-002;High-voltage power supply;1;Aluminum Alloy, Ceramic;Vendor A;$25,000;10 weeks;High;External;A.1;Electronic Assembly;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;70 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Wafer Handling System;WHS-001;Robot arm and wafer chuck;1;Copper, Silicon;Vendor B;$15,000;8 weeks;High;External;A.1;Thermoelectric Cooling;SEMI S456;Leak Test;Provided by vendor;Level 1;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during handling
Plasma Control Unit;WLS-002;Precision temperature control;1;Electronic Components;Vendor F;$20,000;18 weeks;High;External;A.3;Electronic Assembly;SEMI S345;Functional Tests;Provided by vendor;Level 1;90 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Cooling System;WLS-002;Software system for process control;1;Aluminum Alloy;Vendor F;$30,000;14 weeks;Medium;External;A.2;Integration of Diagnostics;SEMI S567;Leak Test;Provided by vendor;Level 2;50 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Control Software System;PSU-002;System for controlling gas flow rates;1;Copper, Silicon;Vendor Q;$15,000;10 weeks;High;External;A.1;Filtration and Purification;SEMI S456;Helium Leak Test;Provided by vendor;Level 1;40 kg;Custom packaging;RoHS, REACH;-
Gas Purification System;PSU-002;Control system for plasma parameters;1;Copper, Silicon;Vendor H;$5,000;12 weeks;High;External;A.1;Filtration and Purification;SEMI S345;Electrical Safety Tests;Provided by vendor;Level 1;120 kg;Custom packaging;RoHS, REACH;Safety interlocks during maintenance
Chamber Assembly;CSS-002;Gas purification and filtration;1;Stainless Steel;Vendor H;$15,000;18 weeks;High;External;A.1;Robotic Assembly;SEMI S456;Visual Inspection;Provided by vendor;Level 1;30 kg;Custom crate;RoHS, REACH;Safety interlocks during maintenance
Plasma Source Assembly;PSU-002;Precision temperature control;1;Stainless Steel;Vendor J;$12,000;16 weeks;High;External;B.2;Thermoelectric Cooling;SEMI S234;Robotic Tests;Provided by vendor;Level 2;150 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Gas Delivery System;CSS-002;High-performance vacuum system;1;Aluminum Alloy, Ceramic;Vendor H;$15,000;16 weeks;High;External;A.1;Flow Rate Calibration;SEMI S789;Helium Leak Test;Provided by vendor;Level 2;50 kg;Digital delivery;RoHS, REACH;Safety interlocks during handling
Control Software System;PSU-002;System for loading wafers into chamber;1;Software;Vendor Q;$8,000;18 weeks;High;External;A.1;Software Development;SEMI S345;Software Testing;Provided by vendor;Level 1;-;Custom packaging;RoHS, REACH;-
Vacuum System;LID-001;Precision temperature control;1;Titanium;Vendor F;$20,000;16 weeks;High;External;A.2;Laser Cutting, Assembly;SEMI S567;Functional Tests;Provided by vendor;Level 2;100 kg;Custom packaging;RoHS, REACH;Safety interlocks during operation
Vacuum System;ISA-002;Closed-loop coolant system;1;Titanium;Vendor L;$12,000;20 weeks;Medium;External;B.1;Vacuum Technology;SEMI S890;Temperature Stability Test;Provided by vendor;Level 2;80 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
Control Software System;CHM-001;Gas distribution manifold;1;Inconel;Vendor E;$25,000;12 weeks;High;External;A.1;Vacuum Technology;ISO 9001;Leak Test;Provided by vendor;Level 1;90 kg;Custom packaging;RoHS, REACH;-
Gas Flow Management System;CS-002;Gas purification and filtration;1;Stainless Steel;Vendor E;$30,000;10 weeks;Medium;External;A.2;Software Development;SEMI S567;Gas Flow Stability Test;Provided by vendor;Level 1;50 kg;Custom crate;RoHS, REACH;Safety interlocks during handling
